chosen_label,text
1,every time a nigger in africa gets pregnant abort it make it a law you can about up to years
1,nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend
1,what sort of white man or woman would vote for this nigger
1,diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate
0,im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews
1,hindu army disrespecting islam now acting like your countries don t mass murder them on a bi yearly basis stfu
1,stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off
0, humor negro 
1,bump dis nigger
0,would be hilarious if the un building was turned into homeless shelter or hell why not a refugee center
0,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant
1,how pissed are you if you are japanese chinese korean ya know real asians and now the goat fuckers are called asian too to avoid calling them arabs
1,i ve always wanted to beat up a nigga in front of his child so the child can grow up and remember it forever
1,they used to have cracker and honky now they have antiracist them to us racist us and nazi does this mean i can say nigger faggot kike sandnigger and spic again fuck you anti white scum 
1,this nigger calling me juicy lips over the phone wtf
1,a nigger bich will never have strait hair so keep wearing dat horsehair weave
1,apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach
1, you need potassium eat a banana you fucking nigger
1,well then send some coon estrogen to my wife she turning more liberal breath by breath due to fake news i do not know how much more i can take hell between her and my two daughters hormones i have started growing breast tissue like pseudo naturally becoming bruce jenner
1,it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay
0, why should you ban immigrants from operating small business every business start somewhere and tomorrow that will give people job
1,i am sure you are totally the alpha faggot at the standard fuckparties
1, aint he bisexual an lgbt king of gays even his mind
1,you insecure lowlife broke ass desperate woman beating momma boy ass niggas are fucking sick get a grip on reality hoe dumbass dykes
1,i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling
1,diac detention center is correspond to the same place equally in the transgender and heterosexuals also gay diac
1,the pentagon is like a street nigger constantly bumming cigarettes spare change
1, agree with ananya baby every hindu muslim sikh isai should travel in economy class sonam kapoor
1,hilarious insult i just saw on pol if i had a satoshi for every time you shills shitposters made a dumb frankpost i would be able to afford a helicopter off the deep web and throw each and every one of you insufferable faggots off into the middle of the ocean
1,i m gay so if my man flirting or cheating with a bitch i think is ugly he bugging lmao
1,amaka so you are now in a man house because of foodstuffs you are no longer lesbian
1,subtly homophobic news story this child is gay twitter influencer who still shits himself thoughts mike pence himself i like gays and even have a faggot friend but this is too much
1,the nigger is a true snake charmer
1,they all look like dykes too i am sure that just a coincidence
1,ben is cool but he is still a nigger
1,imagine the riots if people actually got food boxes instead of ebt cards every ghetto in america would look like ferguson
1,first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate
1,i think it worse than that it is almost like the campaign to legalise homosexuality in the early they are wanting to make it normal it only took the queers until about 
1,nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women 
1,ah k white nationalism is perfect and infallible and you are a cuck faggot who takes it up the ass from blacks if you disagree in any way that seems to cover it
1,lol trump is gutting that nigger bitch like a carp
1,ann coulter this daily trump melodrama is worth it only if he really going to build the wall cut off muslim refugees and deport illegals
1,because british men are cuckolds and too cowardly to do what needed it quite pathetic if that happened to my daughter or sister there d be a tribes worth of sand niggers finding out there no virgins waiting for them
0, what about us white arabs
1,bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting
1,not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in
1,intense white male listening is just as threatening and violent as the white male gaze stop listening at us
1,oh we got somebody trying to defend the murderous negro community and the drug dealing hispanic community you are also defending those mongrels the islam they say white people are all racist and we can only be racist then their stereotype apply as well
1,the attention whore will kill canadians just to gain a seat on the moslem run un
1,i have nothing against blacks asians hispanics mixed but if you include them in movies or video games it forced diversity 
1,bare naked islam brought to you by the bare naked ladies
1, oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs
1,you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot
1,that sound you hear in the distance is the 2 nd civil war approaching texas state student paper ran a pro white genocide article ontologically speaking white death will mean liberation for all until then remember this i hate you because you should not exist
0,meanwhile little girls are sold in refugee camps where imported men then claim to be their fathers they are only raped and subjected to fgm and slavery but dare find a moral obligation to call that out and strike against it why do not those children matter enough
1,what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy
1,only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected
1,based hot jew andrew mix with asians anglin
1,it true is a faggot 
1, there does seem to be an uncanny similarity between the current usual suspects and previous asians 
1,ugly commie bull dyke cunt
1,stumptown is a shit show the writers are retarded the story is boring it is a total waste of its fantastic cast
1,so i posted on craigslist rnr wondering why there were so many beaners in this town and i get this as a response i knew there were illiterates out there but this one is ridiculous
1,wow go figure once again the placed crowd at new year rockin eve is mainly chinks niggers beaners muslims kikes dykes faggots and chicks with dicks
1,why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed days before you published it on your website faggot 
0, tell us first who are these white supremacists how do we know that you are not one of them
1,the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot
0,worst case he looking at a path to citizenship for the ones who are not violent felons and who meet the criteria that would entitle a legal immigrant to be here under a merit based system 
1,i wonder what the faggot has been up to in norway
1,fuck you and your horseshoe faggot
1,this is atrocious fuck this nigger bitch
1,how dafuk a ching chong gone deliver mah food wit all dis snow out heah shiet nigga best brang mah food
1,better call the anti defamation league you gay jew faggot
1,hell yeah proof that the anti q trolls here are fake alt right kike dick suckers
1,nice ghetto rims faggot
1,somebody posted a dick pic to this account i knee jerk muted them but am un muting them as they were complaining about gay porn on twitter hoping that they were intoxicated and think better of the post and delete it
1,bro i swear to god i fucking hate white girls you little ugly ass maggots
1,be good for you to knock off promoting the fictional kike faggot jesus christ insanity perversion in general
0,omfg they are still repeating the fake news that the killer was a white supremacist he hurled slurs at blacks and muslims and according to the anti defamation league had ties to white supremacists
1,filthy jet black nigga backstage full of white bitches no i do not sell like macklemore but i have got white privilege
1,ds does not remove posts like weevs because weevs post is not illegal it removes jidf faggots telling people to kill cops n shit
1,your the biggest faggot if you do not like sports
1,why is there so much gay subtext in my baby sitters a vampire
0,feminism has not set women free it has robbed them of their dignity their femininity gabfam gab
1,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life
1,this is why naxalt is bullshit the faggot mind of sheep uses the as the rule to say there are no wolves yet when attacked it only of wolves eating sheep
1,people do not let your dislike of illegal immigrants cloud your judgment i resent illegal immigrants that does not mean i hate mexicans i have more resentment for visas issued to foreign it workers in silicon valley than i do for the people picking my lettuce and tomatoes
1,ffs everthing is offensive to muslimes
1,you are a dumb spic that can not spell spaniard
0,two bros chillin in a hot tub five feet apart cus they are not gay
1,niggaz was fat in the good old days and they usually died of heartattacks by fitty from crack cocaine and chasing white women dat nigger found jesus and a guru
1,since shitlibs have said that if only there were a few 5 0 iq moslem janitors at the world trade centers moslems would not have attacked it we have a refusegee problem before libya breivik understood you do not shoot the water coming into the boat but those drilling holes in the hull
1,birds of prey listening to margot robbie talk like a retarded white girl who thinks she can drop the n word any time she wants for hours hard pass
1,how do we deal with mudslime baedophiles
0,ever notice how these women resemble each other
1,if obama shows up at your mosque do not let him in hes a queer first then a phony muslim just like hes a phony american mussie do not abide with gays and there have been to much proof he is well into men
1, snerfbucket ima try call me nigger
1,watching minutes and the lawlessness of nigger hood rats the chicago police dept have given up result increase in homicides
1, shut up faggot
1, if i am the faggot your the fucking slutty bitch drowning in my cum the tall bunny did not care
1,you d think a gay gym would have whatever equipment required to work the rear end
1,it the natural order in apfrica and the me for the men to literally sit around and have the women do the work look at any coffee shop in minneapolis or other cities infested by zoomalis bantus or arabs and you will see it
1,you are your own sacred space shield that shit from bug bitches
1,the jews the comies the nigz the muzzies
1,well bill nye is a cuckservative faggot anyway
1, cus yall some faggots 
1,shock as nigger turns out to be a nigger
1,says the swamp muzzie who fucks goats
1,white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone
1,what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked
1,any urgent questions in parliament today about telford do not be such nervous nelly paki moslem child rape gangs are just part parcel etc etc
1,you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes
1, nope the gays do
0, i agree it is a very high chance this is a white person saying it
1,meek and mild c mon don call him what he is a faggot
0,lesson of the week from the holy book the sovereign individual once commerce flows over the internet suppression of speech becomes unstoppable devolution inevitable and the monopoly of violence by governments will end paraphrased from j d davidson rhys mogg
0,watch bbc on muslims abandoning eu syria the father honestly says it bcs they do not like girls being told they have freewill by supposedly educated pple bcs women don t in islam sharia sharialaw realitycheck fgm misogyny hijab rapeculture abuse violence woman women girl girls womansrights womensrights brexit
1, whatchu are is a self hating homosexual who has to pay for your homosexual desires
1,the parade needed at least one severed head in honor of muslim culture
1,i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within feet of my daughters and thats your life over checkout time mohammed
1,claire balding i know you can be raped by some niggas you dyke
1, what mother fucker your white ass think his black ass playing with your white asses wigger please he dead ass that a no go my ass would cancel that show just to be safe and protect everyone asses in that town out here saving lives
1,force normies to choose between well dressed white men with american flags and smelly commie faggots with soviet flags antifa attacks us in such a scenario they lose antifa does not attack us they lose
1,i love when jews say how they really feel
0, i witnessed my black teammates defend and agree with my overtly racist white friend for calling a black dude a nigger i tried to defend dude being called nigger and they all hated on me
1,finstas are gay
1,give us more of your money women and country it is our right to rape you
1,i did no such thing you psychotic moron i said scared women donct report rape you somehow made that into me wanting rapists to go free after you said any woman who is scared after being raped is useless to society you are one unhinged jackass
1,happy early birthday there going to be alot of antifa pussies who are going to be very surprised what real violence looks like it will be coming from men who have practiced the art of violence for many years it should cure any further outbreaks from the tards
1,also that he a faggot and serial mudshark
0, welcome aboard we are a land of refugees from the p c culture that only p c when they want to be
1,well i do not agree with dinesh trump or anyone really d however the right is indeed more populist right now while left establishment is getting too greedy and using virtue signaling to undermine those and others they claim to support ghetto pimping
1,white woman murdered by muslim cop shitskin cop walks free no jail time
1,with already have hillary here that one crazy ass bitch too many i hope he gets her so upset her panties twist up and squeeze her nuts
0, white people fought and suffered for your ancestors freedom
0,phoebe bridgers is a sociopath
1,some spick kids scratched my parents car today and for whatever reason i did not call the cops and just scared them away
0,me and were talking about it cosplayers and she was like if this richie cosplayer took off their glasses they would look like mike but theyre white stranger things
0, how can rbi put such limits this has to change and make culprits pay for it must stop harassment of depositors
1,sure nigger loving whore sure
1,this is catching air because it happened at a christian school the muslim dominated schools of dearborn and hamtramck see kids shoved around and disciplined all the time according to islamist rules without a peep from the press
1,um lazy stupid nigger savages
1,trump scumbag former spic advisor just pushed for daca amnesty daca amnesty is war
1,anti white feminist is attacked by a violent shitskin and promptly blames white men for not saving her she does not blame the shitskin instead says he just needs help and pity oh did i mention she jewish how shocking
0, it not like i am called a faggot due to my long hair and feminine tendencies a lot but hey being a tall white woman is hard as fuck amiright
1,the boomer toughguy became my object of general loathing after observing one on a train casually interacting with a sulking sheboon and going out of his way to call her ma am one obsequious instance after another
0,shockingly though western pakis and indians get along quite well even though we are suppose to hate each other i personally do not have any paki friends because majority of them hate this country are anti semites and conspiracy theorists
1,yepper another day with stupid yeah threaten eu with tariffs piss everyone off and turn u into a shithole country
1,real niggas only you pussy faggots
1,fuck that nasty bitch with a moslem dick
1,not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you
1,but one of them is a nigger
0,be careful with thoes people who always joking around and can not never be serious
1,right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals
0,heejin hyunjin gay date while singing abt boys love that
0,you know what sicker if even possible than that happened to the white kid kidnapped in chicago is that some sick fucking people see it for anything else than what it fucking is a brutal unacceptable hate crime fuck you people like don t lemon worst reporter in cnn in 
1, after debris settles and the dust gets swept off young hwytes pick up where big a had left off right when kike magazines wrote the west off we used the internet for something better than to jack off 
1,great a wife beater and dog stealer tryed to suicide himself and a run like a pussy from soy antifa faggots forney all in agreement of what nehlen should do how about just no
1,blacksketball is now owned by black rules first they put in the dunk then they stopped calling walking palming the ball carrying the ball and now the college refs are also calling ghetto playground basketball we need a new basketball league where white people again make the rules
0,especially since he claims he is a gay man
0,bears last lmaoo niggas team tho
0,i am not surprised that boris johnson made it to the list but surprised that our inch guy somehow has no sexual harassment complaint against him or have i been sleeping go back modi me too
0, yeah while i do not agree with horrible acts of violence angela is taking revenge as a queer person on these horrible bullies especially the pedo carelessly there for shock sure but also early 8 0 was much different rape and revenge movies were still look at as empowering
1,you cannot be reasonable with 3 rd world retards their low iq and their training as perpetual victims predisposes them to violence we are killing ourselves trying to be kind and reasonable with retarded animals
0,gab is a closed social network it is impossible to see any posts without registering first as such it is good for echo chamber but unusable for propaganda or making any statement this has to change otherwise it ll turn into an information ghetto or reservation for right wingers
0,whoever posts the fucking spoilers for endgame is catching these fucking hands
1,national capitalism now no wanting people to have money is hatespeech and stop calling it national capitalism we jews decided political dissenters of zionism should call themselves national socialists so that conservatives and christians capitalists never listen to them
1,never let a nigga with no money disrespect you that ghetto 
1,haredi none haredi jews have similar low math scores ashkenazi make up of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions
1, man niggas got thin ass jackets and shit 
1,adios nigger lover
0, that pretty gay bro
1,deport his unfunny fat kike ass back to canadastan make america funny again
1,white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea
0,race is a social construct goy no difference see how beautiful all women are nsfw
1,i post a video showing the shocking promotion of violence by the south african eff themselves and jewtube still say i am promoting violence
1,love one of you bucket headed hoes no way
0, and exactly how many of those muslim countries are ready to accept the muslim refugees
1,kiwiposse the wobh post suggests otherwise it about the hate preacher that radicalises the muslim population once they tip over the of the population threshold the cancer starts to bite no matter how reasonable we will eventually have the muslim ghettos that foment radical islam
1,what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either
1,yeah you are filthy little bone smoking kike
1,behind the rohinya muzzie sob story http 
1,that is just too retarded even by nigger standards
1,i visited in that trip eng irl scotland saw ancient everything they are time itself i think maybe that why i get impatient about how they are allowing the muzzies destroy the place so rich in culture and historic timelessness europe is a living museum and should be respected as such
0,no more of this madness i shall take refugee in a bottle
1,it like points above american whites in japan and south korea tbh but this is what happens when hostile aliens control your country watch out if you are eyeing south korea though since the importation of jungle asians and poo in the loos is occurring on the downlow
0, that india one day ll be a muslim country again and muslims ll occupy india and yes we ll give rights to minorities do not worry we ll make india as a muslim country one day
1,i dissent the pact between jews muslims to rig the towers with thermite while promising the arabs the usa in return the jew world order
1,niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too 
0,the white bitch amber guyger has been locked away
1,lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do
1, shut up retard im going to sleep dont do anything dumb
0,fox news is so desperate to change subject they are now talking about how robert de niro got upset waiting for his ride and how full of white privilege he is and oh how he used to be a good actor wow pitiful wtf tucker
1,yeah if you do not support my corrupt multiculti globo homo military run by a corrupt government controlled by jews then you have no balls brilliant
1,if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope
1,nigga melly said i get a ssi check i m retarded fr 
1,it ghetto talk though it basically meant degenerate stereotypical trashy woman
1, i am clearly a fucking retard
1,the only kike here is you
0,black ppl who went to all white schools become annoying ass adults 
1,failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion
1,why do we allow any moslem filth brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here
1,saying the n word if you re white means you re racist and saying the f word if you re straight means you re homophobic idc what u say
1, wow porch monkey ur mean
0, all white men do is lie and colonize nothing else
1,i think our president is brilliant why are women such brainlets
1, islam makes all the fun stuff in life forbidden haram it sucks 
0, yeah there all nazis
0, except for the illegally part sounds like that is the explanation based on what happens when they go to court where white cops dealing with black people in the us are concerned nothing is illegal
1,i hate these faggots 
0,btw can i just say voting in washington is a fucking dream every state should do this
0,it used to be associating with jews meant you had a good accountant or doctor and an extra dinner party to mark on the calendar now it means fbi raids bdsm perversion soiled potted plants and deep state coup attempts how the chosen have fallen
0, i gotta go right there just something about white ass cheeks that drives me crazy
1,what is ppl views on paki men muslim men rapping white uk girls
0,the american women in service are waiting for the call to deploy
1,i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers
1,makes me want to puke so fucking tired of this moslem shite appeasement
0,well it sleeping beauty they plan to rewrite first cause she never gave consent to be kissed by the prince the left are seriously fucked in the head and if the bbc show it i am sure she will be a black moslem like thor was
1,i can not see the swedish problem in the usa you can flood us with illegal immigrant assholes but our dna as americans does not sit well with the whole boot on their necks theory
0, i hate you
1,lmao this snow nigger is fuming so hard he brought out his ebonics lol this is your future daughters homeboi
0, initially misread this as him wearing a dindu nuffin shirt
1,oh wow i never knew that what a feminazi was holy shit i definitely do not fit that bill i just thought it was some made up word
1,lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots
0,still the same nigga i am evolving doe
1,i want to go back to school and get an education but i am poor and colleges are kike rip offs i am not satisfied with where i am in life and honestly have no clue where or how to start pushing forward
1,my retarded liberal friends are all in a panic lots of crying and gnashing of teeth over the trump win i love it gabfam
1,i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone
1,when i see a nigger bich i do not see a woman i see a turd wit a brillohaid
1,well it turns out that ann coulter is just another media whore and her shtick is blind hatred toward hispanics the truth is that god mercy does not contradict his righteousness it is demanded by it somewhere between the lefts lionization of immigrants and coulter hatred is the truth
1,these nigger biches look like aunt jemima
0,acts generation see st luke for if god comes right now immediately he will find that the white devil people are virtually literally spiritually running rampant like loose cannons running helter skelter everywhere like chickens with their heads removed
0,they either pick the gimmick light skin bitch or the white boy to profit off of and it never works
1,that is probably for my obamas homosexual escapade that morning
1,anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites
0,hey yankees can you please stop to associate flamenco with arabs to associate rumba with black music to associate pre colombians with latinos to pretend that africa is in orient to pretend that you are pioneers when you are colons thanks
0, completely respectable ladies can enjoy a couple of honky tonks and some beverages nothing wrong with that 
0, everybody knows that the demo bot plan in is massive illegal alien voter fraud operation too big to recount 2020 and that the mcimpeachment is just intended to make the illegal aliens mcangry enough to mcvote jedi mind trick no workee oops
0,seen some niggas walking outside smoking a hookah they some fiens
1,long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm
0,can not stop thinking about the gay rats from arthur i hope they had a good honeymoon
0,joe biden own words are proof that the left resorts to violence when they do not like something said by others that the tolerant left for you from a legal standpoint nonthreatening words are never justification for assault battery
0, they robbed them while serving looks too and they robbed the brooklyn museum tbh more shows should be about queer people stealing from white cishet institutions
1, lying atheistic communist jews are hurting the image of my people shanda
0,again why are you so defensive about it is some nazi gonna come in and call you a name so what i have been called nigger more times than i can count
1,goodnight nigger lover lover
0,wait other single people exist you mean not every gay person is taken 
1,they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe
1,i want to jimmy kimmel to do one of those ate kids halloween candy videos but instead of halloween candy challenge suburban white parents to call black kids that knock on their door niggers
0,definition from fr muslim this from persian mosolmān or moslemān pl of moslem and this of the ar clás muslim adj who professes islamism religion of muhammad u t c adj
0, soo like is she a nazi
0,hugs each amp every akkian out there maa hod di salgay fans ki sonagachi ki item salman
0,me saying that i will partake in inktober is a fucking lie i do not have the time focus or energy sometimes so i will doodle some bullshit and maybe make them into full drawings
1,kikes are the real problem pay all refugees and muslims to leave for uk and france
0,that nigga ynw melly never getting released
0, not we love america and tanding tall with straight spines unlike the maga who defend treason corruption dictatorship cover ups murder white supremacy misogyny racism homophobia and the list goes on good always wins in the end
1, just the jews you fucking kike
0,is muhummad muslim or islam
1, that dude is retarded as fuck
1, fuck you and die you fuckin lezzie nigger white hating cunt
1,i want a truth and no reconciliation these fuckers who have done this to our lands must confess that they lied to shitskins and flooded our lands to destroy shitskins must be told the truth we knew you would fuck shit up so we sent you into white lands
0, they are the best man the ultimate muslim shoe white ones are doubly good reflective ones triply
0,my grandson a homosexual and i love him i love my big gay grandson
0, i d be interested in the role of ship queer if it still going is homosexuality essential though i have never been one although i have transferable skills
1,no do not lie these shithole are great places for niggers and spics and arabs to live they all will be happy together without wypipo
1,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct
0,my personal emotion fueled opinion is if you see a sexual assault on campus knock them out professionally i say make sure you do what you can to make sure you do what you can to make sure these creeps are identifiable because violence only begets violence
0,theresa may treason has no limit as she appoints sajid javid home sec in charge of uk security police immigration a moslem of pakistani origin civil war seems to be the only route
1,did i say soley you disingenuous kike rat i said and it would be better without your plus the other former thanks kikes for crankung rhat up to 
1,u notice people like are not too eager at exploring or talk abt the jewish and israeli connections the evidence for which there is plenty dancing israelis truck bomb jews urban moving systems jews suter wtc lease ring jews gelatine art students etc etc just arabs arabs arabs
1,anyone that stands with sand niggers over america is a piece of shit that all
1, the edmund fitzgerald leaves for canada tomorrow morning all muzzies are welcome and it is free
0,as long as you gettin money yo bitch don t care if you don t go out
1,that towel head is a dude i am almost sure i just threw up in my mouth a little
1,imagine if there wasn t oil in the middle east there would be no dubais there would be no wealthy towel headed sand nigger ruling class because of oil muslim goat fckrs oops i meant herders get to hide in plain sight now they intend to take over the u s 
0,fakenews is following hillary example blame everyone else for causing the violence even though they say kill and fight in their articles bye bye fake guys
1,nazi wack a mole lmfao your funny gay nazis 
0,this is a fucking wild night this is why i hate having adrenaline rushes haldhladslas
1,i post exactly how i talk in real life country and ghetto
0,i bet overtly was invented by jews 
1,this asswipe is always where the violence happens he must be the ringleader for the nonsense
0,interesting stuff i will not lie with all the current talk of some blacks wanting to re segregate it hard to argue against most people think a militia enforced instant segregation when they hear the term white nationalism and that enforcement with violence is what scares them
1,wonho be like who want me bitch monsta x
1,no but mestizo spic sure is
0,why are only white nations being invaded buy non white immigrants
1,that his sister sheboon friend melissa is apparently dating some blonde dude
0,in the zipper head and slope were pretty fashionable i do believe they covered the gambit of asians
0,have been suspended four times by twitter always when content said something re moslems but truth also seeing that second largest shareholder is a moslem prince alwaleed bin talal bin abdulaziz alsaud not surprising so have drifted into gab ai for a better time and no moslem appeasement hope
1,bitches be with african niggas talkin about with papi nah bitch you with baba 
1,incredible how asians have been turning to shitlib ideologies they are traditionally bulwarks of confucian law order disgusting they should be executed
0,if i remember correctly your only concern was how to find naked pictures of the women in the picture i am sure by that comment your a real genius
1,you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable
1,that poor guy fucking mixer nigger grand kids that as bad as that fucking moron trump with his mixer jew grand kids
1,my family owned but we also fought for the union i really wish they would make a real proposal for reparations at some point i would not be able to contain myself if once everything was calculated every nigger got like 
1,despite living in the same american neighborhood for decades i somehow managed to move to a muslim country i base this on having gone food shopping today in a store over run with hijab clad terrorists
0,four moslem mp have been sent suspicious packages their acting like its something to worry about they need to chill out its just parcel parcel of life in a multicultural shit hole i am sure mayor khan would agree inshallah
1,ass in the air lodi take every inch of depravity your masters want to give you take it all ya lil faggot btw the 1 st amendment applies to everyone not just thin skinned boomer queers and leftists you do not like gab gtfo
1, nigger nigger nigger
1, welcome to femi nazi you are like yes to equal right but no to equal responsibility irony
0, should have been removed the last time he threatened this but making laws against people brown people black people gay people female people sick people poor people homeless people refugee people is more important than protecting our democracy of the people 
1,from the zman take a ghetto tour through a place like baltimore and you see a world that should never exist in a western country less than a long lifetime ago it did not exist it was not allowed to exist by the people in charge
0, no illegal aliens increase population not lower it and they work for low pay
0, this excuse for a man that he is because he can not be a man is propangadizing the great people of color to violence against white including females such an embarrassment
1,so it turns out that nationalism is the supreme withcraft of the jews and freemasonry its that time when the rothchilds give the next step in creating their new world order also known as the jew world order
0,i am still tryna see what hood a nigga false claim
1,got a twitter account suspend so here i am nigger nigger nigger jews are duplicitous and you should not cuck for them
0,and it important to tell them i love me a good queer story with a happy ending but i also love me a realistic story portraying childhood trauma and internal homophobia god
0,black violence is wildly out of proportion
0,so my iphone still thinks fuck is duck but it auto corrects hufflepuff with no issue is gay af
0,i am a white nationalist who else is a white nationalist
0,hes a mohammaden just the same as every muslim in the world obeying the qur an
0,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time
1, israeli jews should unilaterally withdraw to being the of the uae witout citizenship then arabs woulf be free
